"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","prevalence_difference","absolute_log2FC","direction","samples_tested","samples_prevalence_25pct","samples_prevalence_50pct","minimum_sample_prevalence","mean_sample_prevalence","maximum_sample_prevalence","consistency_category","biological_review_flag","fc_score","prevalence_score","specificity_score","significance_score","consistency_score","biomarker_score","adjusted_biomarker_score","priority_rank"
9.96866200410899e-213,1.81269487925189,0.966,0.633,3.65112214562496e-208,"H1-2",0.333,1.81269487925189,"Malignant_enriched",3,3,3,0.928057553956835,0.962348168672217,0.986842105263158,"Consistent_3_of_3","Standard_candidate",0.906347439625945,0.966,0.333,1,1,0.836386859906486,0.836386859906486,1
6.8888595207416e-124,1.98223851845253,0.818,0.471,2.52311368806682e-119,"CHCHD10",0.347,1.98223851845253,"Malignant_enriched",3,3,3,0.705035971223022,0.810558098016529,0.958217270194986,"Consistent_3_of_3","Standard_candidate",0.991119259226265,0.818,0.347,1,1,0.830779814806566,0.830779814806566,2
4.08622913903354e-195,1.64592916886974,0.912,0.475,1.49662228446243e-190,"SLC9A3R1",0.437,1.64592916886974,"Malignant_enriched",3,3,3,0.841225626740947,0.918039490120263,0.989208633093525,"Consistent_3_of_3","Standard_candidate",0.82296458443487,0.912,0.437,1,1,0.825541146108718,0.825541146108718,3
7.96113417382136e-130,2.04788098238135,0.717,0.31,2.91584500250381e-125,"GLRX5",0.407,2.04788098238135,"Malignant_enriched",3,3,3,0.543165467625899,0.704492579517972,0.891364902506964,"Consistent_3_of_3","Standard_candidate",1,0.717,0.407,1,1,0.8248,0.8248,4
5.12891971962594e-193,2.67024984721513,0.564,0.097,1.8785181365102e-188,"RETREG1",0.467,2.67024984721513,"Malignant_enriched",3,3,2,0.257894736842105,0.585827974477184,0.76978417266187,"Consistent_3_of_3","Standard_candidate",1,0.564,0.467,1,1,0.8062,0.8062,5
6.89599442412511e-135,1.60572394008108,0.966,0.693,2.52572691778006e-130,"DBI",0.273,1.60572394008108,"Malignant_enriched",3,3,3,0.938848920863309,0.963724209021582,0.994428969359331,"Consistent_3_of_3","Standard_candidate",0.80286197004054,0.966,0.273,1,1,0.798515492510135,0.798515492510135,6
1.10011603143848e-134,1.65428518900144,0.965,0.739,4.02928497674659e-130,"MPC2",0.226,1.65428518900144,"Malignant_enriched",3,3,3,0.910526315789474,0.968318428382935,1,"Consistent_3_of_3","Standard_candidate",0.82714259450072,0.965,0.226,1,1,0.79498564862518,0.79498564862518,7
1.80148556320101e-74,1.81799913321759,0.772,0.483,6.59812102378e-70,"ATP6AP2",0.289,1.81799913321759,"Malignant_enriched",3,3,3,0.528776978417266,0.754123919747064,0.988857938718663,"Consistent_3_of_3","Standard_candidate",0.908999566608795,0.772,0.289,1,1,0.789449891652199,0.789449891652199,8
6.19679870316029e-94,2.72474626626942,0.623,0.3,2.26963949301949e-89,"CKB",0.323,2.72474626626942,"Malignant_enriched",3,3,2,0.365789473684211,0.619685380562285,0.986072423398329,"Consistent_3_of_3","Standard_candidate",1,0.623,0.323,1,1,0.7892,0.7892,9
3.2312838040923e-199,1.60456313653701,0.983,0.788,1.18349000608685e-194,"H2AJ",0.195,1.60456313653701,"Malignant_enriched",3,3,3,0.963788300835655,0.9837769661122,0.994736842105263,"Consistent_3_of_3","Standard_candidate",0.802281568268505,0.983,0.195,1,1,0.786170392067126,0.786170392067126,10
3.83557486545496e-163,1.47413732569993,0.951,0.666,1.40481765022153e-158,"HSBP1",0.285,1.47413732569993,"Malignant_enriched",3,3,3,0.91726618705036,0.94837866695355,0.98050139275766,"Consistent_3_of_3","Standard_candidate",0.737068662849965,0.951,0.285,1,1,0.781467165712491,0.781467165712491,11
3.45014876171286e-118,1.5252539157301,0.8,0.398,1.26365148546495e-113,"TMEM160",0.402,1.5252539157301,"Malignant_enriched",3,3,3,0.658273381294964,0.788378181782385,0.868421052631579,"Consistent_3_of_3","Standard_candidate",0.76262695786505,0.8,0.402,1,1,0.781056739466263,0.781056739466263,12
1.51225322817161e-159,1.43758584763086,0.889,0.522,5.53877867350134e-155,"FKBP4",0.367,1.43758584763086,"Malignant_enriched",3,3,3,0.857938718662953,0.887317449954419,0.926315789473684,"Consistent_3_of_3","Standard_candidate",0.71879292381543,0.889,0.367,1,1,0.780898230953857,0.780898230953857,13
1.88453513487142e-43,1.78705746169767,0.789,0.571,6.90229838498006e-39,"ATP5F1A",0.218,1.78705746169767,"Malignant_enriched",3,3,3,0.564748201438849,0.772152054049474,0.983286908077994,"Consistent_3_of_3","Standard_candidate",0.893528730848835,0.789,0.218,1,1,0.774782182712209,0.774782182712209,14
3.19411647029733e-136,2.19875890360774,0.468,0.089,1.1698770984111e-131,"GASK1B",0.379,2.19875890360774,"Malignant_enriched",3,3,1,0.420863309352518,0.463871799496336,0.5,"Consistent_3_of_3","Standard_candidate",1,0.468,0.379,1,1,0.7694,0.7694,15
3.28989400936642e-112,1.57640748655421,0.739,0.378,1.20495657987054e-107,"PRSS23",0.361,1.57640748655421,"Malignant_enriched",3,3,2,0.465789473684211,0.758410723407786,0.920863309352518,"Consistent_3_of_3","Standard_candidate",0.788203743277105,0.739,0.361,1,1,0.767050935819276,0.767050935819276,16
7.52619200054638e-149,2.37194040602517,0.452,0.074,2.75654308212012e-144,"EPN3",0.378,2.37194040602517,"Malignant_enriched",3,3,1,0.35,0.455457472462142,0.54874651810585,"Consistent_3_of_3","Standard_candidate",1,0.452,0.378,1,1,0.766,0.766,17
3.65927394204643e-120,1.92552734646048,0.5,0.132,1.34024567401392e-115,"TM7SF2",0.368,1.92552734646048,"Malignant_enriched",3,3,1,0.373259052924791,0.49327617806063,0.660526315789474,"Consistent_3_of_3","Standard_candidate",0.96276367323024,0.5,0.368,1,1,0.76429091830756,0.76429091830756,18
3.87409395606642e-96,1.59718327609151,0.707,0.37,1.41892565234889e-91,"DCAF6",0.337,1.59718327609151,"Malignant_enriched",3,3,2,0.492105263157895,0.71914086382265,0.852367688022284,"Consistent_3_of_3","Standard_candidate",0.798591638045755,0.707,0.337,1,1,0.758447909511439,0.758447909511439,19
6.83421760388149e-127,1.461839802477,0.708,0.292,2.50310053959763e-122,"FCGRT",0.416,1.461839802477,"Malignant_enriched",3,3,2,0.37883008356546,0.723525211497713,0.949640287769784,"Consistent_3_of_3","Standard_candidate",0.7309199012385,0.708,0.416,1,1,0.757529975309625,0.757529975309625,20
6.84132629957398e-102,1.6129402681664,0.666,0.305,2.50570417048197e-97,"SNHG25",0.361,1.6129402681664,"Malignant_enriched",3,3,2,0.406685236768802,0.685031643355599,0.935251798561151,"Consistent_3_of_3","Standard_candidate",0.8064701340832,0.666,0.361,1,1,0.7570175335208,0.7570175335208,21
2.85368439974259e-53,2.56087183593064,0.588,0.393,1.04519044824972e-48,"PLAAT3",0.195,2.56087183593064,"Malignant_enriched",3,3,1,0.338129496402878,0.561588295702684,0.978947368421053,"Consistent_3_of_3","Standard_candidate",1,0.588,0.195,1,1,0.7566,0.7566,22
2.8601778271519e-84,2.12597677533072,0.469,0.159,1.04756873097266e-79,"GADD45G",0.31,2.12597677533072,"Malignant_enriched",3,3,1,0.31294964028777,0.458993280379362,0.682451253481894,"Consistent_3_of_3","Standard_candidate",1,0.469,0.31,1,1,0.7558,0.7558,23
2.18025103325032e-78,1.67816463918405,0.778,0.587,7.98538743438261e-74,"TSPAN13",0.191,1.67816463918405,"Malignant_enriched",3,3,2,0.406685236768802,0.787928273419968,0.989473684210526,"Consistent_3_of_3","Standard_candidate",0.839082319592025,0.778,0.191,1,1,0.753570579898006,0.753570579898006,24
1.49025300346534e-105,1.31662602974096,0.8,0.416,5.45820065049216e-101,"PBX1",0.384,1.31662602974096,"Malignant_enriched",3,3,3,0.671309192200557,0.814265754966764,0.982014388489209,"Consistent_3_of_3","Standard_candidate",0.65831301487048,0.8,0.384,1,1,0.75137825371762,0.75137825371762,25
3.47714240382836e-101,1.35146942289897,0.789,0.418,1.27353817682617e-96,"SELENOP",0.371,1.35146942289897,"Malignant_enriched",3,3,3,0.571942446043165,0.770743264646456,0.871866295264624,"Consistent_3_of_3","Standard_candidate",0.675734711449485,0.789,0.371,1,1,0.750933677862371,0.750933677862371,26
6.06385191878925e-82,1.77521873003108,0.582,0.269,2.22094640377575e-77,"RWDD4",0.313,1.77521873003108,"Malignant_enriched",3,3,1,0.438848920863309,0.573238942931566,0.796657381615599,"Consistent_3_of_3","Standard_candidate",0.88760936501554,0.582,0.313,1,1,0.750902341253885,0.750902341253885,27
1.24136309749487e-88,1.73424519429637,0.57,0.229,4.54661648088473e-84,"MAST4",0.341,1.73424519429637,"Malignant_enriched",3,3,2,0.305755395683453,0.550188513607821,0.763231197771588,"Consistent_3_of_3","Standard_candidate",0.867122597148185,0.57,0.341,1,1,0.748980649287046,0.748980649287046,28
3.76696828222507e-125,1.29734359086644,0.765,0.349,1.37968980304775e-120,"TBC1D9",0.416,1.29734359086644,"Malignant_enriched",3,3,3,0.626740947075209,0.769635597781854,0.845323741007194,"Consistent_3_of_3","Standard_candidate",0.64867179543322,0.765,0.416,1,1,0.748367948858305,0.748367948858305,29
5.11743628106195e-94,1.59103228990571,0.647,0.299,1.87431221230175e-89,"SCD",0.348,1.59103228990571,"Malignant_enriched",3,3,2,0.267409470752089,0.657431328064656,0.863157894736842,"Consistent_3_of_3","Standard_candidate",0.795516144952855,0.647,0.348,1,1,0.747879036238214,0.747879036238214,30
2.68231180182109e-87,1.89863155754591,0.476,0.166,9.82423520534992e-83,"GGA2",0.31,1.89863155754591,"Malignant_enriched",3,3,1,0.281578947368421,0.477452496293538,0.704735376044568,"Consistent_3_of_3","Standard_candidate",0.949315778772955,0.476,0.31,1,1,0.744528944693239,0.744528944693239,31
6.62409927960518e-93,1.62932214511696,0.598,0.242,2.42614260214819e-88,"RERG",0.356,1.62932214511696,"Malignant_enriched",3,3,2,0.402631578947368,0.60808212541534,0.738161559888579,"Consistent_3_of_3","Standard_candidate",0.81466107255848,0.598,0.356,1,1,0.74446526813962,0.74446526813962,32
4.20748976836004e-130,1.38518150129729,0.651,0.215,1.54103520255955e-125,"ETFB",0.436,1.38518150129729,"Malignant_enriched",3,3,3,0.58273381294964,0.643616641652226,0.763157894736842,"Consistent_3_of_3","Standard_candidate",0.692590750648645,0.651,0.436,1,1,0.740547687662161,0.740547687662161,33
3.33436805831595e-113,1.16990318412537,0.899,0.577,1.2212456450388e-108,"NUCB2",0.322,1.16990318412537,"Malignant_enriched",3,3,3,0.807894736842105,0.907568687756143,0.992805755395683,"Consistent_3_of_3","Standard_candidate",0.584951592062685,0.899,0.322,1,1,0.740437898015671,0.740437898015671,34
3.00008410948418e-106,1.18129195356569,0.84,0.481,1.09881080593968e-101,"STARD10",0.359,1.18129195356569,"Malignant_enriched",3,3,3,0.768421052631579,0.851545920571855,0.97841726618705,"Consistent_3_of_3","Standard_candidate",0.590645976782845,0.84,0.359,1,1,0.737461494195711,0.737461494195711,35
5.88898906793358e-115,1.11092520465223,0.839,0.442,2.15690113602135e-110,"HERPUD1",0.397,1.11092520465223,"Malignant_enriched",3,3,3,0.785515320334262,0.840924644831855,0.87410071942446,"Consistent_3_of_3","Standard_candidate",0.555462602326115,0.839,0.397,1,1,0.736065650581529,0.736065650581529,36
3.4682569797365e-38,1.41058628853859,0.859,0.677,1.27028380139829e-33,"YWHAQ",0.182,1.41058628853859,"Malignant_enriched",3,3,3,0.723684210526316,0.862601723342042,0.997214484679666,"Consistent_3_of_3","Standard_candidate",0.705293144269295,0.859,0.182,1,1,0.734523286067324,0.734523286067324,37
3.07692433650535e-96,1.40847090196759,0.677,0.313,1.12695430748845e-91,"RBBP7",0.364,1.40847090196759,"Malignant_enriched",3,3,3,0.510791366906475,0.660966520728586,0.881578947368421,"Consistent_3_of_3","Standard_candidate",0.704235450983795,0.677,0.364,1,1,0.734258862745949,0.734258862745949,38
