"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
4.46777479612461e-274,4.85877746111597,0.566,0.04,1.6363671968286e-269,"PVALB"
6.93739542677712e-243,3.70794803881521,0.547,0.05,2.54089044901139e-238,"KCNJ3"
9.96866200410899e-213,1.81269487925189,0.966,0.633,3.65112214562496e-208,"H1-2"
3.72283415658114e-204,-1.18556386171429,0.992,0.976,1.36352523818941e-199,"RPL34"
1.03845493182075e-201,-4.88529723796274,0.179,0.716,3.80344503328667e-197,"AREG"
3.2312838040923e-199,1.60456313653701,0.983,0.788,1.18349000608685e-194,"H2AJ"
4.02947850634771e-195,8.99348231770605,0.347,0.003,1.47583679773491e-190,"ALB"
4.08622913903354e-195,1.64592916886974,0.912,0.475,1.49662228446243e-190,"SLC9A3R1"
4.07440841805922e-194,-1.15030398218016,0.99,0.961,1.49229282719837e-189,"RPS25"
5.12891971962594e-193,2.67024984721513,0.564,0.097,1.8785181365102e-188,"RETREG1"
1.92673468248838e-191,10.2499970119177,0.337,0.001,7.05685844808195e-187,"CST5"
8.87876112477537e-178,1.0635670206572,0.981,0.807,3.25193504956023e-173,"COX8A"
7.23828481881748e-174,-1.06641558758796,0.997,0.974,2.65109419774009e-169,"RPL11"
7.50319687369369e-170,1.01758133315525,0.996,0.909,2.74812088695905e-165,"COX6A1"
7.88866585360937e-169,8.35306459039041,0.3,0.001,2.88930275554297e-164,"NEFH"
2.14888472101612e-163,1.9968838993186,0.527,0.097,7.87050517919364e-159,"TIMP3"
3.83557486545496e-163,1.47413732569993,0.951,0.666,1.40481765022153e-158,"HSBP1"
3.5267294901952e-161,-1.11172858033375,0.997,0.978,1.2916999430789e-156,"RPL26"
1.51225322817161e-159,1.43758584763086,0.889,0.522,5.53877867350134e-155,"FKBP4"
9.53350744232018e-152,0.869681078697609,0.992,0.867,3.49174243582419e-147,"COX4I1"
7.52619200054638e-149,2.37194040602517,0.452,0.074,2.75654308212012e-144,"EPN3"
1.10646646819808e-148,4.939207916625,0.304,0.012,4.0525440864223e-144,"SYT13"
4.32484733889954e-146,1.49208263727042,0.99,0.851,1.58401858634534e-141,"SOD1"
1.15919652677069e-145,0.926822912943061,0.985,0.789,4.24567319895033e-141,"MZT2B"
1.50029237125269e-141,-1.0299283732732,0.993,0.97,5.49497083895011e-137,"RPS3"
9.12839344143716e-140,4.6207331130913,0.313,0.021,3.34336538186077e-135,"AGTR1"
3.19411647029733e-136,2.19875890360774,0.468,0.089,1.1698770984111e-131,"GASK1B"
6.89599442412511e-135,1.60572394008108,0.966,0.693,2.52572691778006e-130,"DBI"
1.10011603143848e-134,1.65428518900144,0.965,0.739,4.02928497674659e-130,"MPC2"
6.34671732423368e-132,-4.06819579393938,0.205,0.612,2.32454868717383e-127,"TCIM"
9.72851205215685e-132,6.44247866989662,0.237,0,3.56316482422297e-127,"GRIA3"
1.59142972522356e-130,1.77872368025893,0.993,0.848,5.8287705116038e-126,"NDUFA4"
4.20748976836004e-130,1.38518150129729,0.651,0.215,1.54103520255955e-125,"ETFB"
7.96113417382136e-130,2.04788098238135,0.717,0.31,2.91584500250381e-125,"GLRX5"
3.60346486361879e-129,-2.23278297153618,0.862,0.911,1.31980504094902e-124,"SAT1"
6.83421760388149e-127,1.461839802477,0.708,0.292,2.50310053959763e-122,"FCGRT"
1.00401262258379e-126,2.32419990656709,0.397,0.064,3.67729663147538e-122,"CHAD"
3.92766194885025e-126,0.815374533391467,0.961,0.555,1.43854546538589e-121,"HSPA1A"
