"integrated_rank","gene","final_integrated_score","final_tier","adjusted_biomarker_score","biomarker_score","avg_log2FC","absolute_log2FC","pct.1","pct.2","prevalence_difference","mean_sample_prevalence","minimum_sample_prevalence","maximum_sample_prevalence","consistency_category","sample_consistency_score","specificity_score","prevalence_score","significance_score","high_priority","robust_3sample","final_biological_category","biological_class","GO_BP_support","GO_CC_support","GO_MF_support","KEGG_support","pathway_support","epithelial_relevance","proliferation_relevance","mitochondrial_relevance","stress_relevance","metabolic_flag","biological_review_flag"
1,"H1-2",0.77315,"Tier_2_Strong_Robust_Candidate",0.836386859906486,0.836386859906486,1.81269487925189,1.81269487925189,0.966,0.633,0.333,0.962348168672217,0.928057553956835,0.986842105263158,"Consistent_3_of_3",1,0.333,0.966,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
2,"CHCHD10",0.757554960075271,"Tier_2_Strong_Robust_Candidate",0.830779814806566,0.830779814806566,1.98223851845253,1.98223851845253,0.818,0.471,0.347,0.810558098016529,0.705035971223022,0.958217270194986,"Consistent_3_of_3",1,0.347,0.818,1,TRUE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"OXPHOS_Pathway_Supported","Standard_candidate"
3,"DBI",0.743245335955574,"Tier_2_Strong_Robust_Candidate",0.798515492510135,0.798515492510135,1.60572394008108,1.60572394008108,0.966,0.693,0.273,0.963724209021582,0.938848920863309,0.994428969359331,"Consistent_3_of_3",1,0.273,0.966,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
4,"SLC9A3R1",0.741963260707186,"Tier_2_Strong_Robust_Candidate",0.825541146108718,0.825541146108718,1.64592916886974,1.64592916886974,0.912,0.475,0.437,0.918039490120263,0.841225626740947,0.989208633093525,"Consistent_3_of_3",1,0.437,0.912,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
5,"MPC2",0.734046892959788,"Tier_2_Strong_Robust_Candidate",0.79498564862518,0.79498564862518,1.65428518900144,1.65428518900144,0.965,0.739,0.226,0.968318428382935,0.910526315789474,1,"Consistent_3_of_3",1,0.226,0.965,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
6,"FKBP4",0.732220761440943,"Tier_2_Strong_Robust_Candidate",0.780898230953857,0.780898230953857,1.43758584763086,1.43758584763086,0.889,0.522,0.367,0.887317449954419,0.857938718662953,0.926315789473684,"Consistent_3_of_3",1,0.367,0.889,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
7,"PRSS23",0.731177175465214,"Tier_1_Strong_Tumor_Relevant",0.767050935819276,0.767050935819276,1.57640748655421,1.57640748655421,0.739,0.378,0.361,0.758410723407786,0.465789473684211,0.920863309352518,"Consistent_3_of_3",1,0.361,0.739,1,TRUE,TRUE,"Epithelial_Tumor_Relevant","Epithelial_TumorAssociated",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
8,"GLRX5",0.728054154528145,"Tier_2_Strong_Robust_Candidate",0.8248,0.8248,2.04788098238135,2.04788098238135,0.717,0.31,0.407,0.704492579517972,0.543165467625899,0.891364902506964,"Consistent_3_of_3",1,0.407,0.717,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
9,"FCGRT",0.7279716884174,"Tier_1_Strong_Tumor_Relevant",0.757529975309625,0.757529975309625,1.461839802477,1.461839802477,0.708,0.292,0.416,0.723525211497713,0.37883008356546,0.949640287769784,"Consistent_3_of_3",1,0.416,0.708,1,TRUE,TRUE,"Epithelial_Tumor_Relevant","Epithelial_TumorAssociated",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
10,"HSPA1A",0.726293066147912,"Tier_2_Strong_Robust_Candidate",0.725321816673933,0.725321816673933,0.815374533391467,0.815374533391467,0.961,0.555,0.406,0.961362568060198,0.947075208913649,0.971223021582734,"Consistent_3_of_3",1,0.406,0.961,1,FALSE,TRUE,"Stress_Response","Stress_Response",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,"Not_OXPHOS_Classified","Standard_candidate"
11,"TMEM160",0.71975825675542,"Tier_2_Strong_Robust_Candidate",0.781056739466263,0.781056739466263,1.5252539157301,1.5252539157301,0.8,0.398,0.402,0.788378181782385,0.658273381294964,0.868421052631579,"Consistent_3_of_3",1,0.402,0.8,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
12,"NDUFAB1",0.710650057452456,"Tier_2_Strong_Robust_Candidate",0.716729273665924,0.716729273665924,0.95303418932739,0.95303418932739,0.92,0.602,0.318,0.917649946894852,0.892086330935252,0.95,"Consistent_3_of_3",1,0.318,0.92,1,FALSE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"OXPHOS_Pathway_Supported","Standard_candidate"
13,"GATA3",0.709856373078879,"Tier_2_Strong_Robust_Candidate",0.729965562123559,0.729965562123559,0.996524496988474,0.996524496988474,0.941,0.605,0.336,0.942055533113459,0.934210526315789,0.953237410071942,"Consistent_3_of_3",1,0.336,0.941,1,FALSE,TRUE,"Other_Candidate","Other_Candidate",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
14,"ATP5MC3",0.709240312118732,"Tier_2_Strong_Robust_Candidate",0.727128450278051,0.727128450278051,1.13542760222441,1.13542760222441,0.963,0.75,0.213,0.96202083634368,0.953237410071942,0.974930362116992,"Consistent_3_of_3",1,0.213,0.963,1,TRUE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"OXPHOS_Pathway_Supported","Standard_candidate"
15,"COX7B",0.705287673580521,"Tier_2_Strong_Robust_Candidate",0.724587398228997,0.724587398228997,1.13909918583198,1.13909918583198,0.957,0.753,0.204,0.955456312270225,0.935251798561151,0.991643454038997,"Consistent_3_of_3",1,0.204,0.957,1,TRUE,TRUE,"Mitochondrial_Metabolic","Mitochondrial_OXPHOS",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"OXPHOS_Pathway_Supported","Standard_candidate"
16,"NUCB2",0.705137011028754,"Tier_2_Strong_Robust_Candidate",0.740437898015671,0.740437898015671,1.16990318412537,1.16990318412537,0.899,0.577,0.322,0.907568687756143,0.807894736842105,0.992805755395683,"Consistent_3_of_3",1,0.322,0.899,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
17,"HSBP1",0.702634808458785,"Tier_2_Strong_Robust_Candidate",0.781467165712491,0.781467165712491,1.47413732569993,1.47413732569993,0.951,0.666,0.285,0.94837866695355,0.91726618705036,0.98050139275766,"Consistent_3_of_3",1,0.285,0.951,1,TRUE,TRUE,"Other_Candidate","Other_Candidate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not_OXPHOS_Classified","Standard_candidate"
